,申真谞,朴廷桓,柯洁,王星昊,李轩豪,卞相壹,丁浩,杨鼎新,辜梓豪,李钦诚,芈昱廷,党毅飞,范廷钰,李维清,连笑,赵晨宇,一力辽,申旻埈,杨楷文,井山裕太,时越,许嘉阳,谢尔豪,李东勋,柁嘉熹,廖元赫,许皓鋐,谢科,江维杰,姜东润,金明训,檀啸,Others
申真谞,0,16,4,2,2,12,2,6,10,2,2,0,2,2,0,0,2,12,0,0,0,4,2,0,0,0,4,4,0,6,6,2,58
朴廷桓,0,0,2,0,0,10,0,2,0,0,2,2,0,0,2,2,6,6,0,2,0,0,0,0,0,2,2,0,2,2,0,4,50
柯洁,0,2,0,4,6,0,2,2,0,2,4,8,10,0,4,2,4,2,4,0,4,4,2,0,6,0,0,0,0,0,0,4,26
王星昊,0,2,4,0,0,2,0,2,0,0,4,0,2,2,0,0,0,0,6,0,4,2,0,0,2,2,2,0,0,0,2,0,30
李轩豪,2,4,0,2,0,0,0,2,4,4,2,4,2,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,2,13
卞相壹,0,6,0,2,4,0,0,0,0,0,2,0,2,2,0,0,0,4,0,0,0,0,0,0,0,0,4,0,2,2,0,0,54
丁浩,0,4,8,2,2,0,0,8,2,0,2,6,4,2,0,2,0,0,0,0,4,4,6,0,0,2,2,2,0,0,2,0,10
杨鼎新,0,0,4,2,2,0,0,0,8,2,4,0,0,0,4,2,0,0,0,0,2,2,0,0,2,2,2,0,2,0,0,2,14
辜梓豪,4,6,4,2,0,4,4,0,0,4,4,0,4,6,2,2,0,4,0,0,2,0,0,0,2,0,0,2,0,0,2,2,16
李钦诚,0,0,4,0,2,2,2,0,2,0,4,0,4,0,0,2,0,0,2,0,2,0,0,0,0,2,0,2,0,0,0,2,11
芈昱廷,0,0,6,2,2,0,2,0,0,2,0,6,4,0,2,0,0,0,2,0,2,2,6,0,0,0,0,0,4,0,0,0,20
党毅飞,0,0,2,0,0,0,4,0,6,0,2,0,2,2,6,4,0,0,2,0,6,0,0,0,4,6,0,4,2,0,0,4,17
范廷钰,0,2,2,2,4,0,2,0,0,2,0,2,0,2,0,0,0,0,2,0,0,2,0,0,2,0,0,2,4,0,0,2,16
李维清,0,2,0,0,2,0,8,2,0,4,4,2,2,0,0,0,0,0,2,0,2,2,4,0,0,0,0,0,2,0,0,2,10
连笑,0,0,0,0,2,0,0,0,0,0,2,2,2,0,0,4,0,0,2,0,0,2,2,0,2,2,0,2,0,0,0,4,16
赵晨宇,0,2,4,0,4,2,2,0,4,2,6,2,4,0,2,0,0,0,2,0,0,2,2,0,2,0,0,2,2,0,0,2,21
一力辽,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,44
申旻埈,2,2,4,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,4,4,0,0,0,0,0,0,4,0,0,4,0,2,44
杨楷文,0,0,2,2,0,0,2,4,0,2,0,4,2,2,2,2,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,13
井山裕太,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
时越,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,2,2,0,4,0,0,0,4,0,2,0,0,0,0,19
许嘉阳,0,0,0,0,2,0,0,2,4,4,6,2,0,0,0,0,0,2,0,0,0,0,2,0,2,2,0,2,2,2,0,2,9
谢尔豪,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,0,2,0,0,2,2,4,0,0,0,0,0,6,2,2,0,0,16
李东勋,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
柁嘉熹,0,0,4,0,0,0,0,2,2,0,2,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,2,0,2,14
廖元赫,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,4,0,0,0,0,11
许皓鋐,2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
谢科,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,2,2,2,0,2,0,0,0,0,0,2,0,10
江维杰,0,0,0,0,2,2,0,0,2,0,4,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,11
姜东润,6,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,27
金明训,0,0,0,0,0,0,4,0,0,0,2,0,0,2,0,2,0,0,0,2,0,2,2,0,0,0,0,2,0,0,0,0,35
檀啸,0,0,2,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,2,0,2,0,0,0,2,2,0,0,0,0,0,0,21
Others,6,8,5,4,5,12,5,4,4,2,2,5,4,6,4,4,9,13,4,8,4,4,8,0,4,5,13,4,4,16,16,1,0
